Chiloscyllium punctatum
Rhincodon typus
Stegostoma fasciatum
Atelomycterus marmoratus
Carcharhinus melanopterus
Triaenodon obesus
Triakis semifasciata
Aetobatus narinari
Manta birostris
Neotrygon kuhlii
Taeniura lymma
Rhina ancylostoma
Rhinobatos productus
Antennarius commerson
Antennarius pictus
Brachysomophis crocodilinus
Gymnothorax favagineus
Gymnothorax fimbriatus
Gymnothorax javanicus
Gymnothorax thyrsoideus
Heteroconger hassi
Rhinomuraena quaesita
Aluterus scriptus
Arothron hispidus
Arothron mappa
Arothron nigropunctatus
Arothron stellatus
Balistapus undulatus
Balistoides conspicillum
Balistoides viridescens
Diodon hystrix
Odonus niger
Ostracion cubicus
Ostracion meleagris
Pseudobalistes flavimarginatus
Pseudobalistes fuscus
Sufflamen chrysopterum
Dendrochirus zebra
Pterois radiata
Pterois volitans
Scorpaenopsis diabolus
Scorpaenopsis oxycephala
Acanthurus leucosternon
Amphiprion clarkii
Amphiprion frenatus
Amphiprion ocellaris
Amphiprion perideraion
Bolbometopon muricatum
Caesio xanthonota
Carangoides fulvoguttatus
Caranx ignobilis
Caranx melampygus
Caranx sexfasciatus
Cephalopholis argus
Cephalopholis miniata
Chaetodon baronessa
Chaetodon collare
Chaetodon decussatus
Chaetodon meyeri
Chaetodon octofasciatus
Chaetodon rafflesii
Cheilinus undulatus
Cromileptes altivelis
Epinephelus merra
Epinephelus tukula
Forcipiger flavissimus
Gymnosarda unicolor
Halichoeres hortulanus
Hiniochus acuminatus
Hiniochus diphreutes
Lutjanus lutjanus
Naso tonganus
Nemateleotris magnifica
Paracanthurus hepatus
Paracirrhites forsteri
Platax teira
Plectorhinchus vittatus
Pomacanthus annularis
Pomacanthus imperator
Pomacanthus xanthometopon
Pygoplites diacanthus
Siganus javus
Sphyraena barracuda
Sphyraena flavicauda
Sphyraena jello
Sphyraena qenie
Zanclus cornutus
Eurypegasus draconis
Rastrelliger kanagurta
Aulostomus maculatus
Solenostomus paradoxus
